,Year,Country Name,International Tourism Expenditures (US$),International Tourism Receipts (US$),# of arrivals,GDP (US$),Total Population
295,2017,Grenada,38000000,482000000,468000,1125685185,120921
514,2018,Guatemala,1105000000,1235099975,2406000,73328369925,16346950
80,2016,Guatemala,1032000000,1202699951,1906000,66053402744,15827690
948,2020,Guatemala,346000000,298500000,594000,77715183063,16858333
731,2019,Guatemala,1128000000,1227199951,2560000,77172313916,16604026
297,2017,Guatemala,1066000000,1217599975,2120000,71653756504,16087418
298,2017,Guinea,102400001,16600000,99000,10324668270,12240789
81,2016,Guinea,16299999,16600000,63000,8595955600,11930985
733,2019,Guinea-Bissau,88900001,18920000,52400,1439638410,1970457
516,2018,Guinea-Bissau,74599998,20000000,55000,1504630233,1924955
301,2017,Haiti,485000000,460000000,1262000,15093357143,10863543
84,2016,Haiti,503000000,511000000,1153000,14069277532,10713849
518,2018,Haiti,599000000,620000000,1333000,16403864521,11012421
736,2019,Honduras,655000000,556000000,2315000,25089937108,9958829
85,2016,Honduras,482000000,585000000,2228000,21717604580,9460798
519,2018,Honduras,558000000,601000000,2323000,24067750465,9792850
302,2017,Honduras,517000000,610000000,2144000,23136248046,9626842
953,2020,Honduras,230000000,189000000,669000,23827859694,10121763
86,2016,"Hong Kong SAR, China",24141000000,37838000000,56655000,320860317562,7336600
520,2018,"Hong Kong SAR, China",26498000000,42313000000,65148000,361731070995,7452600
303,2017,"Hong Kong SAR, China",25388000000,38170000000,58472000,341273289534,7393200
521,2018,Hungary,3239000000,9618000000,57667000,160565642983,9775564
738,2019,Hungary,3352000000,10225000000,61397000,164020460331,9771141
955,2020,Hungary,1334000000,4224000000,31641000,157227094449,9750149
87,2016,Hungary,2738000000,7481000000,52890000,128609822750,9814023
304,2017,Hungary,3049000000,8448000000,54962000,143112196040,9787966
306,2017,India,21856000000,27878000000,15543000,2651474263257,1354195680
740,2019,India,28595000000,31661000000,17914000,2835606242052,1383112050
523,2018,India,25790000000,29143000000,17423000,2702929639861,1369003306
89,2016,India,19184000000,23111000000,14570000,2294796889945,1338636340
90,2016,Indonesia,9932000000,12566000000,11519000,931877364033,261850182
307,2017,Indonesia,10945000000,14691000000,14040000,1015618744168,264498852
741,2019,Indonesia,14449000000,18405000000,16107000,1119099871386,269582878
524,2018,Indonesia,13171000000,17915000000,15810000,1042271532953,267066843
958,2020,Indonesia,1980000000,3533000000,4053000,1059054842711,271857970
308,2017,"Iran, Islamic Rep.",12568000000,4531000000,4867000,486630147094,84505076
91,2016,"Iran, Islamic Rep.",11142000000,4634000000,4942000,457954614595,83306231
525,2018,"Iran, Islamic Rep.",9271000000,5252000000,7295000,327900695065,85617562
93,2016,Ireland,6234000000,12649000000,10100000,299091127524,4755335
310,2017,Ireland,6616000000,14294000000,10338000,336377500160,4807388
527,2018,Ireland,7541000000,15276000000,10926000,385736680797,4867316
744,2019,Ireland,8156000000,14808000000,10951000,399321701632,4934340
529,2018,Israel,9975000000,8048000000,4389000,376691526553,8882800
312,2017,Israel,8985000000,7602000000,3863000,358245427458,8713300
746,2019,Israel,10389000000,8459000000,4905000,402470513619,9054000
95,2016,Israel,8210000000,6616000000,3070000,322102790386,8546000
96,2016,Italy,30584000000,42423000000,84925000,1877071687633,60627498
747,2019,Italy,37908000000,51910000000,95399000,2011302198827,59729081
313,2017,Italy,34819000000,46719000000,89931000,1961796197354,60536709
530,2018,Italy,37644000000,51602000000,93228601,2091932426266,60421760
964,2020,Italy,12965000000,20459000000,38419000,1897210466667,59438851
98,2016,Japan,25968000000,33456000000,24039000,5003677627544,127076000
966,2020,Japan,6741000000,11395000000,4115799,5048789595589,126261000
532,2018,Japan,28097000000,45276000000,31191000,5040880939324,126811000
749,2019,Japan,29146000000,49209000000,31881000,5117993853016,126633000
315,2017,Japan,25774000000,36978000000,28691000,4930837369151,126972000
750,2019,Jordan,1569000000,6765000000,5361000,44503005774,10698683
316,2017,Jordan,1496000000,5549000000,4565000,41608435915,10215381
967,2020,Jordan,408000000,1745000000,1240000,43579916197,10928721
533,2018,Jordan,1493000000,6221000000,4922000,43370860704,10459865
99,2016,Jordan,1367000000,4943000000,4236000,39892551126,9964656
317,2017,Kazakhstan,2695000000,2356000000,7701000,166805788966,18037776
100,2016,Kazakhstan,2580000000,2038000000,6509000,137278320084,17794055
534,2018,Kazakhstan,2852000000,2651000000,8789000,179339977517,18276452
751,2019,Kazakhstan,2955000000,2922000000,8515000,181667185041,18513673
968,2020,Kazakhstan,861000000,589000000,2035000,171082365723,18755666
319,2017,Kiribati,24569999,5170000,7500,188540699,120362
755,2019,"Korea, Rep.",35339000000,25456000000,17503000,1651422932447,51764822
538,2018,"Korea, Rep.",38022000000,23104000000,15347000,1724845615629,51585058
972,2020,"Korea, Rep.",16705000000,11776000000,2519000,1644312785467,51836239
321,2017,"Korea, Rep.",34453000000,17173000000,13336000,1623901496835,51361911
104,2016,"Korea, Rep.",29817000000,20924000000,17242000,1500111596236,51217803
757,2019,Kuwait,15839000000,1198000000,8565000,136191752590,4441100
106,2016,Kuwait,13232000000,831000000,7055000,109406169162,4048085
323,2017,Kuwait,13722000000,643000000,7407000,120687635952,4124904
974,2020,Kuwait,6696000000,524000000,2161000,105948765156,4360444
540,2018,Kuwait,14318000000,919000000,8508000,138202309918,4317185
324,2017,Kyrgyz Republic,422000000,480000000,4568000,7702938395,6198200
107,2016,Kyrgyz Republic,582000000,477000000,3853000,6813095396,6079500
758,2019,Kyrgyz Republic,519000000,708000000,8508000,8871019822,6456200
541,2018,Kyrgyz Republic,451000000,518000000,6947000,8271106196,6322800
759,2019,Lao PDR,1029000000,974000000,4791000,18740559554,7212053
976,2020,Lao PDR,260000000,227000000,886400,18981800705,7319399
542,2018,Lao PDR,1005000000,833000000,4186000,18141651381,7105006
108,2016,Lao PDR,912099975,717000000,4239000,15912495368,6891363
325,2017,Lao PDR,930000000,655000000,3869000,17071162084,6997917
544,2018,Lebanon,6395000000,8694000000,1964000,54901519155,5950839
110,2016,Lebanon,5252000000,7373000000,1688000,51147308773,6258619
761,2019,Lebanon,6495000000,8717000000,1936000,51605959131,5781907
327,2017,Lebanon,5704000000,8086000000,1857000,53027680685,6109252
333,2017,Luxembourg,2607000000,5472000000,1046000,65712180342,596336
984,2020,Luxembourg,2458000000,4454000000,525000,73992591285,630419
550,2018,Luxembourg,2872000000,5642000000,1018000,71000359760,607950
767,2019,Luxembourg,3288000000,5645000000,1041000,69825641851,620001
116,2016,Luxembourg,2048000000,5606000000,1054000,62216885435,582014
334,2017,"Macao SAR, China",1702000000,36595000000,32611000,50440935654,638609
551,2018,"Macao SAR, China",1941000000,41478000000,35804000,55284309690,650991
