,Country Name,Year,GDP per Capita
844,Togo,2017,831
843,Togo,2018,902
842,Togo,2019,893
841,Togo,2020,915
944,Tonga,2017,4513
943,Tonga,2018,4741
942,Tonga,2019,4903
941,Tonga,2020,4625
379,Trinidad And Tobago,2017,16748
378,Trinidad And Tobago,2018,17139
377,Trinidad And Tobago,2019,17123
376,Trinidad And Tobago,2020,15286
554,Tunisia,2017,3688
553,Tunisia,2018,3691
552,Tunisia,2019,3572
551,Tunisia,2020,3597
164,Turkey,2017,10590
163,Turkey,2018,9454
162,Turkey,2019,9122
161,Turkey,2020,8536
919,Turkmenistan,2017,6587
917,Turkmenistan,2018,6967
915,Turkmenistan,2019,7612
913,Turkmenistan,2020,0
274,Turks And Caicos Islands,2017,27545
273,Turks And Caicos Islands,2018,29553
272,Turks And Caicos Islands,2019,31351
271,Turks And Caicos Islands,2020,23880
624,Tuvalu,2017,3979
622,Tuvalu,2018,4156
620,Tuvalu,2019,4652
618,Tuvalu,2020,4669
1029,UAE,2017,40645
1028,UAE,2018,43839
1027,UAE,2019,42701
1026,UAE,2020,36285
583,Uganda,2017,747
581,Uganda,2018,771
579,Uganda,2019,799
577,Uganda,2020,822
364,Ukraine,2017,2638
363,Ukraine,2018,3097
362,Ukraine,2019,3661
361,Ukraine,2020,3752
48,United Kingdom,2017,40858
46,United Kingdom,2018,43647
44,United Kingdom,2019,43070
42,United Kingdom,2020,41098
8,United States,2017,59915
6,United States,2018,62805
4,United States,2019,65095
2,United States,2020,63028
359,Uruguay,2017,18691
357,Uruguay,2018,18704
355,Uruguay,2019,17688
353,Uruguay,2020,15419
473,Uzbekistan,2017,1917
471,Uzbekistan,2018,1597
469,Uzbekistan,2019,1784
467,Uzbekistan,2020,1750
799,Vanuatu,2017,3083
798,Vanuatu,2018,3125
797,Vanuatu,2019,3123
796,Vanuatu,2020,2920
279,Vietnam,2017,2974
278,Vietnam,2018,3231
277,Vietnam,2019,3425
276,Vietnam,2020,3526
1019,Virgin Islands (U.S.),2017,35365
1018,Virgin Islands (U.S.),2018,36654
1017,Virgin Islands (U.S.),2019,38596
1016,Virgin Islands (U.S.),2020,39552
749,West Bank And Gaza,2017,3620
748,West Bank And Gaza,2018,3562
747,West Bank And Gaza,2019,3657
746,West Bank And Gaza,2020,3234
698,Yemen,2017,964
696,Yemen,2018,758
694,Yemen,2019,751
692,Yemen,2020,632
688,Zambia,2017,1535
686,Zambia,2018,1516
684,Zambia,2019,1305
682,Zambia,2020,985
668,Zimbabwe,2017,1235
666,Zimbabwe,2018,1255
664,Zimbabwe,2019,1317
662,Zimbabwe,2020,1215
